
---------- Begin Simulation Statistics ----------
simSeconds                                   0.137076                       # Number of seconds simulated (Second)
simTicks                                 137076139508                       # Number of ticks simulated (Tick)
finalTick                                137076139508                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1172.13                       # Real time elapsed on the host (Second)
hostTickRate                                116946310                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8605920                       # Number of bytes of host memory used (Byte)
simInsts                                    238353208                       # Number of instructions simulated (Count)
simOps                                      241295883                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   203351                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     205861                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           476                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        287975084                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.207541                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.828129                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       252688229                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      497                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      254214947                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  12292                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             11392842                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          12244123                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 132                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           287549671                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.884073                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.026040                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 125738666     43.73%     43.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  99904648     34.74%     78.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  41185621     14.32%     92.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  14043238      4.88%     97.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   4288227      1.49%     99.17% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1796535      0.62%     99.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    495270      0.17%     99.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     77588      0.03%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     19878      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             287549671                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  307782     25.33%     25.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                  11245      0.93%     26.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                      81      0.01%     26.27% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                 88158      7.26%     33.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                483178     39.77%     73.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                 47146      3.88%     77.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult               154563     12.72%     89.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc             88418      7.28%     97.17% # attempts to use FU when none available (Count)
