
---------- Begin Simulation Statistics ----------
simSeconds                                   0.109395                       # Number of seconds simulated (Second)
simTicks                                 109394555144                       # Number of ticks simulated (Tick)
finalTick                                109394555144                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1210.80                       # Real time elapsed on the host (Second)
hostTickRate                                 90348951                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8647860                       # Number of bytes of host memory used (Byte)
simInsts                                    261123412                       # Number of instructions simulated (Count)
simOps                                      312340752                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   215662                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     257962                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           476                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        229820495                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.879342                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.137214                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       335188712                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   177797                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      331799519                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  68540                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             23025756                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          18948686                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                1655                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           228841305                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.449911                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.342720                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  73753641     32.23%     32.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  52514165     22.95%     55.18% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  51453261     22.48%     77.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  33919866     14.82%     92.48% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  12409958      5.42%     97.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   3935268      1.72%     99.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    726189      0.32%     99.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     85728      0.04%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     43229      0.02%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             228841305                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 6539010     51.43%     51.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                 332796      2.62%     54.05% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                   14329      0.11%     54.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     54.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     54.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     54.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     54.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     54.16% # attempts to use FU when none available (Count)
