
---------- Begin Simulation Statistics ----------
simSeconds                                   0.151398                       # Number of seconds simulated (Second)
simTicks                                 151397876616                       # Number of ticks simulated (Tick)
finalTick                                151397876616                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1563.17                       # Real time elapsed on the host (Second)
hostTickRate                                 96853040                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8696980                       # Number of bytes of host memory used (Byte)
simInsts                                    314287501                       # Number of instructions simulated (Count)
simOps                                      402599097                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   201058                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     257553                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           476                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        318062767                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.011546                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.988585                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       427006983                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     9756                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      423444721                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  59465                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             24417641                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          16364405                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                2161                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           310676365                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.362977                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.301709                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 109359992     35.20%     35.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  61636524     19.84%     55.04% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  84470954     27.19%     82.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  34556868     11.12%     93.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  15300721      4.92%     98.28% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   4446748      1.43%     99.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    663538      0.21%     99.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    150327      0.05%     99.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     90693      0.03%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             310676365                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 4456475     26.90%     26.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                  67711      0.41%     27.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                     541      0.00%     27.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     27.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     5      0.00%     27.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                   253      0.00%     27.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     27.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     27.31% # attempts to use FU when none available (Count)
