
---------- Begin Simulation Statistics ----------
simSeconds                                   0.137123                       # Number of seconds simulated (Second)
simTicks                                 137122517616                       # Number of ticks simulated (Tick)
finalTick                                137122517616                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1213.22                       # Real time elapsed on the host (Second)
hostTickRate                                113024053                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8605924                       # Number of bytes of host memory used (Byte)
simInsts                                    238353232                       # Number of instructions simulated (Count)
simOps                                      241295908                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   196464                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     198890                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           476                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        288072517                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.207949                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.827849                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       252682308                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      496                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      254188436                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  12307                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             11386895                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          12253250                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 131                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           287641564                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.883699                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.025802                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 125833644     43.75%     43.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  99928941     34.74%     78.49% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  41139736     14.30%     92.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  14055214      4.89%     97.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   4305383      1.50%     99.17% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1795751      0.62%     99.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    484367      0.17%     99.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     80332      0.03%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     18196      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             287641564                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  308504     25.40%     25.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                  10961      0.90%     26.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                      82      0.01%     26.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                 88155      7.26%     33.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                482080     39.70%     73.27% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                 47208      3.89%     77.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult               154447     12.72%     89.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc             88445      7.28%     97.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                   475      0.04%     97.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                33372      2.75%     99.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     99.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     99.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     99.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                      6      0.00%     99.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                    561      0.05%     99.99% # attempts to use FU when none available (Count)
