
---------- Begin Simulation Statistics ----------
simSeconds                                   0.151375                       # Number of seconds simulated (Second)
simTicks                                 151374956264                       # Number of ticks simulated (Tick)
finalTick                                151374956264                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1550.74                       # Real time elapsed on the host (Second)
hostTickRate                                 97614750                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8696980                       # Number of bytes of host memory used (Byte)
simInsts                                    314287554                       # Number of instructions simulated (Count)
simOps                                      402599152                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   202670                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     259618                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           476                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        318014615                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.011393                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.988735                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       427013474                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     9728                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      423451971                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  59249                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             24424049                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          16373656                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                2133                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           310673535                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.363013                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.301799                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 109362806     35.20%     35.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  61638674     19.84%     55.04% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  84447442     27.18%     82.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  34575005     11.13%     93.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  15290018      4.92%     98.27% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   4454047      1.43%     99.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    666068      0.21%     99.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    149117      0.05%     99.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     90358      0.03%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             310673535                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 4449754     26.87%     26.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                  67930      0.41%     27.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                     576      0.00%     27.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     27.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     5      0.00%     27.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                   253      0.00%     27.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     27.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     27.28% # attempts to use FU when none available (Count)
