
---------- Begin Simulation Statistics ----------
simSeconds                                   0.099321                       # Number of seconds simulated (Second)
simTicks                                  99321162780                       # Number of ticks simulated (Tick)
finalTick                                 99321162780                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1137.35                       # Real time elapsed on the host (Second)
hostTickRate                                 87326478                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8618192                       # Number of bytes of host memory used (Byte)
simInsts                                    230470465                       # Number of instructions simulated (Count)
simOps                                      321829492                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   202637                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     282963                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           476                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        208657906                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.905256                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.104660                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       333040953                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    13156                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      341816540                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  23180                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             11224616                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          13013498                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                1290                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           208376667                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.640378                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.423472                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  58791880     28.21%     28.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  40991785     19.67%     47.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  57974062     27.82%     75.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  26410444     12.67%     88.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  17761734      8.52%     96.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   4515984      2.17%     99.07% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1557068      0.75%     99.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    313645      0.15%     99.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     60065      0.03%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             208376667                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 4441203     19.03%     19.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                  25306      0.11%     19.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                    3134      0.01%     19.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                203786      0.87%     20.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                  5086      0.02%     20.05% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                    28      0.00%     20.05% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                48281      0.21%     20.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc             13363      0.06%     20.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     4      0.00%     20.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                10752      0.05%     20.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    1      0.00%     20.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                1184921      5.08%     25.44% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     25.44% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                4624162     19.81%     45.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                    290      0.00%     45.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      0      0.00%     45.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc               1942178      8.32%     53.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     53.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     53.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     53.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                    0      0.00%     53.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     53.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     53.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     53.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd           5831107     24.99%     78.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%     78.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp           1478591      6.34%     84.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCvt                 0      0.00%     84.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatDiv                 0      0.00%     84.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMisc                0      0.00%     84.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMult          2327508      9.97%     94.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMultAcc       1197578      5.13%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMatMultAcc            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatSqrt                0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAdd                0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAlu                0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceCmp                0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatReduceAdd            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatReduceCmp            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAes                      0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAesMix                   0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha1Hash                 0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha1Hash2                0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha256Hash               0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha256Hash2              0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShaSigma2                0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShaSigma3                0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdPredAlu                  0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::Matrix                       0      0.00%    100.00% # attempts to use FU when none available (Count)
