
---------- Begin Simulation Statistics ----------
simSeconds                                   0.137155                       # Number of seconds simulated (Second)
simTicks                                 137154864196                       # Number of ticks simulated (Tick)
finalTick                                137154864196                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1232.50                       # Real time elapsed on the host (Second)
hostTickRate                                111282070                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8603744                       # Number of bytes of host memory used (Byte)
simInsts                                    238353208                       # Number of instructions simulated (Count)
simOps                                      241295883                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   193390                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     195778                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           476                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        288140472                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.208234                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.827654                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       252686282                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      495                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      254184339                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  12240                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             11390893                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          12263644                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 130                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           287701121                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.883501                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.025534                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 125887499     43.76%     43.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  99931837     34.73%     78.49% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  41120412     14.29%     92.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  14113251      4.91%     97.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   4258570      1.48%     99.17% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1810951      0.63%     99.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    483914      0.17%     99.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     78090      0.03%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     16597      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             287701121                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  308297     25.38%     25.38% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                  11789      0.97%     26.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                      73      0.01%     26.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                 88006      7.24%     33.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                482677     39.73%     73.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                 47223      3.89%     77.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult               154334     12.70%     89.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc             88306      7.27%     97.18% # attempts to use FU when none available (Count)
