
---------- Begin Simulation Statistics ----------
simSeconds                                   0.137041                       # Number of seconds simulated (Second)
simTicks                                 137041499084                       # Number of ticks simulated (Tick)
finalTick                                137041499084                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1224.61                       # Real time elapsed on the host (Second)
hostTickRate                                111906046                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8605924                       # Number of bytes of host memory used (Byte)
simInsts                                    238353208                       # Number of instructions simulated (Count)
simOps                                      241295883                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   194636                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     197039                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           476                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        287902310                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.207236                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.828339                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       252685736                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      497                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      254201683                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  12378                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             11390349                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          12252923                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 132                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           287478055                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.884247                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.025978                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 125661952     43.71%     43.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  99918215     34.76%     78.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  41190256     14.33%     92.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  14021465      4.88%     97.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   4299670      1.50%     99.17% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1796272      0.62%     99.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    492987      0.17%     99.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     77305      0.03%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     19933      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             287478055                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  307945     25.42%     25.42% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                  10415      0.86%     26.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                      85      0.01%     26.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                 88156      7.28%     33.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                480463     39.66%     73.22% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                 47155      3.89%     77.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult               154417     12.75%     89.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc             88411      7.30%     97.16% # attempts to use FU when none available (Count)
