
---------- Begin Simulation Statistics ----------
simSeconds                                   0.118225                       # Number of seconds simulated (Second)
simTicks                                 118225251928                       # Number of ticks simulated (Tick)
finalTick                                118225251928                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1275.07                       # Real time elapsed on the host (Second)
hostTickRate                                 92720329                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8643632                       # Number of bytes of host memory used (Byte)
simInsts                                    261123611                       # Number of instructions simulated (Count)
simOps                                      312340957                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   204791                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     244959                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           476                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        248372379                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.950325                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.052272                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       336162753                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   177922                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      332627681                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  70461                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             23999717                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          19398109                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                1780                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           243548696                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.365754                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.337815                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  86668397     35.59%     35.59% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  54479077     22.37%     57.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  51888088     21.31%     79.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  33309876     13.68%     92.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  12548356      5.15%     98.09% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   3878338      1.59%     99.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    624396      0.26%     99.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    106034      0.04%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     46134      0.02%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             243548696                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 6481560     51.98%     51.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                 340209      2.73%     54.71% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                   15363      0.12%     54.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     54.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     54.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     54.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     54.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     54.83% # attempts to use FU when none available (Count)
