
---------- Begin Simulation Statistics ----------
simSeconds                                   0.110629                       # Number of seconds simulated (Second)
simTicks                                 110628825524                       # Number of ticks simulated (Tick)
finalTick                                110628825524                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1213.68                       # Real time elapsed on the host (Second)
hostTickRate                                 91151258                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8647860                       # Number of bytes of host memory used (Byte)
simInsts                                    261123589                       # Number of instructions simulated (Count)
simOps                                      312340934                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   215150                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     257349                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           476                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        232413500                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.889263                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.124527                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       335178140                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   177801                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      331792510                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  68458                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             23015006                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          18938705                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                1659                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           229990967                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.442633                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.343120                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  74893639     32.56%     32.56% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  52524618     22.84%     55.40% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  51459847     22.37%     77.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  33915946     14.75%     92.52% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  12408599      5.40%     97.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   3936068      1.71%     99.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    723321      0.31%     99.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     85734      0.04%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     43195      0.02%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             229990967                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 6537779     51.43%     51.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                 334806      2.63%     54.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                   14161      0.11%     54.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     54.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     54.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     54.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     54.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     54.17% # attempts to use FU when none available (Count)
