
---------- Begin Simulation Statistics ----------
simSeconds                                   0.137718                       # Number of seconds simulated (Second)
simTicks                                 137717852720                       # Number of ticks simulated (Tick)
finalTick                                137717852720                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1222.00                       # Real time elapsed on the host (Second)
hostTickRate                                112698357                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8602724                       # Number of bytes of host memory used (Byte)
simInsts                                    238353245                       # Number of instructions simulated (Count)
simOps                                      241295921                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   195051                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     197459                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           476                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        289323221                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.213194                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.824271                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       252670940                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      487                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      254189735                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  12075                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             11375505                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          12217284                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 122                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           288707851                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.880439                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.024141                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 126765773     43.91%     43.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 100084014     34.67%     78.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  41186707     14.27%     92.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  14003959      4.85%     97.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   4298068      1.49%     99.18% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1796630      0.62%     99.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    479344      0.17%     99.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     77904      0.03%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     15452      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             288707851                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  308193     25.31%     25.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                  10247      0.84%     26.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                     109      0.01%     26.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                 87698      7.20%     33.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                485875     39.90%     73.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                 47199      3.88%     77.13% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult               157439     12.93%     90.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc             86860      7.13%     97.19% # attempts to use FU when none available (Count)
