
---------- Begin Simulation Statistics ----------
simSeconds                                   0.100019                       # Number of seconds simulated (Second)
simTicks                                 100019156804                       # Number of ticks simulated (Tick)
finalTick                                100019156804                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1133.07                       # Real time elapsed on the host (Second)
hostTickRate                                 88272707                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8616020                       # Number of bytes of host memory used (Byte)
simInsts                                    230470465                       # Number of instructions simulated (Count)
simOps                                      321829492                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   203404                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     284033                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           476                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        210124280                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.911617                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.096951                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       333083783                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    13157                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      341654235                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  23864                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             11267447                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          13078014                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                1291                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           209845810                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.628120                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.412266                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  59091816     28.16%     28.16% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  41920474     19.98%     48.14% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  58880777     28.06%     76.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  26527209     12.64%     88.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  17070140      8.13%     96.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   4425111      2.11%     99.08% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1590657      0.76%     99.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    276485      0.13%     99.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     63141      0.03%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             209845810                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 4527542     19.26%     19.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                  23272      0.10%     19.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                    2191      0.01%     19.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                203828      0.87%     20.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                  5088      0.02%     20.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                    28      0.00%     20.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                48093      0.20%     20.47% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc             13376      0.06%     20.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     4      0.00%     20.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                10752      0.05%     20.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    1      0.00%     20.57% # attempts to use FU when none available (Count)
